Title,Platforms,Publisher,Genre,Total_Sales,USA_Sales,EUR_Sales,Japan_Sales,Rating,Release_Date,Year
The Legend of Zelda: Skyward Sword    Read the review,Wii,Nintendo,Adventure,3.96,2.03,1.18,0.37,9.5,20  Nov 11,2011.0
The Legend of Zelda: A Link Between Worlds    Read the review,3DS,Nintendo,Adventure,3.57,1.53,1.31,0.47,9.0,22nd Nov 13,2013.0
LEGO Batman: The Videogame    Read the review,X360,Warner Bros. Interactive,Adventure,3.44,2.07,1.04,0.0,7.5,23rd Sep 08,2008.0
Professor Layton and the Unwound Future    Read the review,DS,Nintendo,Adventure,3.28,0.61,1.58,0.82,9.0,12  Sep 10,2010.0
Heavy Rain    Read the review,PS3,Sony Computer Entertainment,Adventure,3.06,1.29,1.24,0.06,9.1,23rd Feb 10,2010.0
Professor Layton and the Last Specter    Read the review,DS,Nintendo,Adventure,2.68,0.28,1.41,0.68,8.8,17  Oct 11,2011.0
Detroit: Become Human    Read the review,PS4,Sony Interactive Entertainment,Adventure,1.57,0.55,0.67,0.12,8.0,25  May 18,2018.0
Assassin's Creed III: Liberation    Read the review,PSV,Ubisoft,Adventure,1.48,0.53,0.57,0.06,7.8,30  Oct 12,2012.0
LEGO Harry Potter: Years 1-4    Read the review,PS3,Warner Bros. Interactive,Adventure,1.37,0.55,0.61,0.0,7.5,29  Jun 10,2010.0
The ICO & Shadow of the Colossus Collection    Read the review,PS3,Sony Computer Entertainment,Adventure,1.34,0.67,0.36,0.13,9.0,27  Sep 11,2011.0
LEGO Batman: The Videogame    Read the review,PS2,Warner Bros. Interactive,Adventure,1.27,0.72,0.03,0.0,7.5,23rd Sep 08,2008.0
Shadow of the Colossus    Read the review,PS2,Sony Computer Entertainment,Adventure,1.14,0.78,0.03,0.2,9.4,18  Oct 05,2005.0
Rabbids Go Home    Read the review,Wii,Ubisoft,Adventure,1.13,0.25,0.74,0.0,7.8,03rd Nov 09,2009.0
Endless Ocean    Read the review,Wii,Nintendo,Adventure,1.06,0.43,0.46,0.09,8.3,21  Jan 08,2008.0
